depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
3964	2.266	19.035	11.841	0.308	0.255	7.194
3965	2.234	19.041	11.844	0.308	0.274	7.198
3966	2.242	19.048	11.847	0.308	0.269	7.201
3967	2.212	19.055	11.85	0.308	0.287	7.205
3968	2.196	19.061	11.853	0.308	0.296	7.209
3969	2.192	19.068	11.856	0.308	0.299	7.212
3970	2.196	19.074	11.859	0.308	0.296	7.216
3971	2.214	19.081	11.862	0.308	0.286	7.219
3972	2.208	19.088	11.865	0.308	0.289	7.223
3973	2.174	19.094	11.868	0.308	0.309	7.227
3974	2.2	19.101	11.87	0.308	0.294	7.23
3975	2.214	19.107	11.873	0.308	0.286	7.234
3976	2.235	19.114	11.876	0.308	0.274	7.237
3977	2.207	19.12	11.879	0.308	0.29	7.241
3978	2.194	19.127	11.882	0.308	0.298	7.245
3979	2.199	19.134	11.885	0.308	0.295	7.248
3980	2.174	19.14	11.888	0.308	0.309	7.252
3981	2.175	19.147	11.891	0.308	0.309	7.255
3982	2.215	19.153	11.894	0.308	0.285	7.259
3983	2.206	19.16	11.897	0.308	0.291	7.262
3984	2.21	19.166	11.9	0.307	0.288	7.266
3985	2.223	19.173	11.903	0.307	0.281	7.27
3986	2.238	19.18	11.906	0.307	0.272	7.273
3987	2.196	19.186	11.909	0.307	0.296	7.277
3988	2.156	19.193	11.912	0.307	0.32	7.28
3989	2.188	19.199	11.915	0.307	0.301	7.284
3990	2.198	19.206	11.918	0.307	0.295	7.288
3991	2.226	19.212	11.921	0.307	0.279	7.291
3992	2.222	19.219	11.924	0.307	0.281	7.295
3993	2.22	19.226	11.927	0.307	0.282	7.299
3994	2.228	19.232	11.93	0.307	0.278	7.302
3995	2.194	19.239	11.933	0.307	0.298	7.306
3996	2.191	19.246	11.936	0.307	0.299	7.309
3997	2.23	19.252	11.939	0.307	0.276	7.313
3998	2.206	19.259	11.942	0.307	0.291	7.317
3999	2.198	19.265	11.945	0.307	0.295	7.32
4000	2.168	19.272	11.948	0.307	0.313	7.324
4001	2.19	19.278	11.951	0.307	0.3	7.327
4002	2.178	19.285	11.954	0.307	0.307	7.331
4003	2.206	19.291	11.957	0.307	0.291	7.334
4004	2.207	19.298	11.96	0.307	0.29	7.338
4005	2.215	19.305	11.963	0.307	0.285	7.342
4006	2.22	19.311	11.966	0.307	0.282	7.345
4007	2.166	19.318	11.969	0.307	0.314	7.349
4008	2.182	19.324	11.972	0.307	0.305	7.352
4009	2.182	19.331	11.975	0.307	0.305	7.356
4010	2.186	19.337	11.978	0.307	0.302	7.359
4011	2.198	19.344	11.981	0.307	0.295	7.363
4012	2.198	19.35	11.984	0.307	0.295	7.366
4013	2.19	19.357	11.987	0.306	0.3	7.37
4014	2.214	19.364	11.99	0.306	0.286	7.374
4015	2.199	19.37	11.993	0.306	0.295	7.377
4016	2.192	19.377	11.996	0.306	0.299	7.381
4017	2.24	19.383	11.999	0.306	0.271	7.384
4018	2.202	19.39	12.002	0.306	0.293	7.388
4019	2.206	19.397	12.005	0.306	0.291	7.392
4020	2.21	19.403	12.008	0.306	0.288	7.395
4021	2.178	19.41	12.011	0.306	0.307	7.399
4022	2.186	19.416	12.014	0.306	0.302	7.402
4023	2.194	19.423	12.017	0.306	0.298	7.406
