depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
5672.5	2.553	43.05	16.944	0.086	25.02
5673.0	2.524	43.054	16.945	0.103	24.736
5673.5	2.542	43.058	16.947	0.093	24.912
5674.0	2.551	43.061	16.948	0.087	25.004
5674.5	2.518	43.065	16.95	0.107	24.673
5675.0	2.521	43.069	16.951	0.105	24.704
5675.5	2.509	43.073	16.953	0.112	24.587
5676.0	2.496	43.076	16.954	0.12	24.459
5676.5	2.475	43.08	16.956	0.133	24.251
5677.0	2.494	43.084	16.957	0.121	24.441
5677.5	2.481	43.087	16.959	0.129	24.313
5678.0	2.508	43.091	16.96	0.113	24.577
5678.5	2.523	43.095	16.962	0.104	24.728
5679.0	2.559	43.099	16.963	0.083	25.078
5679.5	2.557	43.103	16.965	0.084	25.06
5680.0	2.56	43.106	16.966	0.083	25.083
5680.5	2.714	43.11	16.968	-0.008	26.594
5681.0	2.779	43.115	16.969	-0.046	27.233
5681.5	2.722	43.119	16.971	-0.013	26.677
5682.0	2.636	43.123	16.972	0.038	25.83
5682.5	2.583	43.127	16.974	0.069	25.309
5683.0	2.646	43.13	16.975	0.032	25.928
5683.5	2.567	43.134	16.977	0.078	25.156
5684.0	2.584	43.138	16.978	0.068	25.325
5684.5	2.567	43.142	16.98	0.078	25.159
5685.0	2.534	43.146	16.981	0.098	24.828
5685.5	2.798	43.15	16.983	-0.058	27.421
5686.0	2.639	43.154	16.984	0.036	25.86
5686.5	2.389	43.157	16.986	0.183	23.408
5687.0	2.452	43.161	16.987	0.146	24.026
5687.5	2.462	43.165	16.989	0.14	24.128
5688.0	2.462	43.168	16.99	0.14	24.123
5688.5	2.467	43.172	16.992	0.137	24.181
5689.0	2.616	43.176	16.993	0.049	25.636
5689.5	2.662	43.18	16.995	0.023	26.085
5690.0	2.569	43.184	16.996	0.077	25.179
5690.5	2.564	43.188	16.998	0.08	25.13
5691.0	2.672	43.192	16.999	0.016	26.19
5691.5	2.545	43.196	17.001	0.091	24.937
5692.0	2.545	43.199	17.002	0.091	24.945
5692.5	2.445	43.203	17.004	0.15	23.963
5693.0	2.467	43.207	17.005	0.137	24.177
5693.5	2.679	43.211	17.007	0.012	26.256
