depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
4008	2.182	19.324	11.972	0.305	21.384
4009	2.182	19.331	11.975	0.305	21.384
4010	2.186	19.337	11.978	0.302	21.423
4011	2.198	19.344	11.981	0.295	21.54
4012	2.198	19.35	11.984	0.295	21.54
4013	2.19	19.357	11.987	0.3	21.462
4014	2.214	19.364	11.99	0.286	21.697
4015	2.199	19.37	11.993	0.295	21.55
4016	2.192	19.377	11.996	0.299	21.482
4017	2.24	19.383	11.999	0.271	21.952
4018	2.202	19.39	12.002	0.293	21.58
4019	2.206	19.397	12.005	0.291	21.619
4020	2.21	19.403	12.008	0.288	21.658
4021	2.178	19.41	12.011	0.307	21.344
4022	2.186	19.416	12.014	0.302	21.423
4023	2.194	19.423	12.017	0.298	21.501
4024	2.202	19.429	12.02	0.293	21.58
4025	2.231	19.436	12.023	0.276	21.864
4026	2.214	19.443	12.026	0.286	21.697
4027	2.207	19.449	12.029	0.29	21.629
4028	2.204	19.456	12.032	0.292	21.599
4029	2.208	19.462	12.035	0.289	21.638
4030	2.18	19.469	12.038	0.306	21.364
4031	2.175	19.475	12.041	0.309	21.315
4032	2.214	19.482	12.044	0.286	21.697
4033	2.198	19.489	12.047	0.295	21.54
4034	2.216	19.495	12.05	0.285	21.717
4035	2.204	19.502	12.053	0.292	21.599
4036	2.19	19.508	12.056	0.3	21.462
4037	2.186	19.515	12.059	0.302	21.423
4038	2.202	19.521	12.062	0.293	21.58
4039	2.212	19.528	12.065	0.287	21.678
4040	2.184	19.535	12.068	0.304	21.403
4041	2.17	19.541	12.071	0.312	21.266
4042	2.202	19.548	12.074	0.293	21.58
4043	2.204	19.554	12.077	0.292	21.599
4044	2.202	19.561	12.08	0.293	21.58
4045	2.196	19.567	12.083	0.296	21.521
4046	2.202	19.574	12.086	0.293	21.58
4047	2.198	19.58	12.089	0.295	21.54
4048	2.204	19.587	12.092	0.292	21.599
4049	2.204	19.594	12.095	0.292	21.599
4050	2.222	19.6	12.098	0.281	21.776
4051	2.224	19.607	12.1	0.28	21.795
4052	2.214	19.614	12.103	0.286	21.697
4053	2.21	19.62	12.106	0.288	21.658
4054	2.226	19.627	12.109	0.279	21.815
4055	2.194	19.633	12.112	0.298	21.501
4056	2.216	19.64	12.115	0.285	21.717
4057	2.212	19.647	12.118	0.287	21.678
4058	2.212	19.653	12.121	0.287	21.678
4059	2.204	19.66	12.124	0.292	21.599
4060	2.196	19.666	12.127	0.296	21.521
4061	2.198	19.673	12.13	0.295	21.54
4062	2.182	19.679	12.133	0.305	21.384
4063	2.214	19.686	12.136	0.286	21.697
4064	2.178	19.693	12.139	0.307	21.344
4065	2.178	19.699	12.142	0.307	21.344
4066	2.196	19.706	12.145	0.296	21.521
4067	2.188	19.712	12.148	0.301	21.442
4068	2.18	19.719	12.151	0.306	21.364
4069	2.18	19.725	12.154	0.306	21.364
4070	2.222	19.732	12.157	0.281	21.776
4071	2.204	19.738	12.16	0.292	21.599
4072	2.198	19.745	12.163	0.295	21.54
4073	2.22	19.752	12.166	0.282	21.756
4074	2.234	19.758	12.169	0.274	21.893
4075	2.232	19.765	12.172	0.275	21.874
4076	2.214	19.772	12.175	0.286	21.697
4077	2.22	19.778	12.178	0.282	21.756
4078	2.194	19.785	12.181	0.298	21.501
4079	2.212	19.791	12.184	0.287	21.678
4080	2.21	19.798	12.187	0.288	21.658
4081	2.23	19.805	12.19	0.276	21.854
4082	2.236	19.811	12.193	0.273	21.913
4083	2.202	19.818	12.196	0.293	21.58
4084	2.204	19.824	12.199	0.292	21.599
4085	2.22	19.831	12.202	0.282	21.756
4086	2.21	19.838	12.205	0.288	21.658
4087	2.228	19.844	12.208	0.278	21.834
4088	2.22	19.851	12.211	0.282	21.756
4089	2.212	19.858	12.214	0.287	21.678
4090	2.202	19.864	12.217	0.293	21.58
4091	2.214	19.871	12.22	0.286	21.697
